x,y,theta
0.9034885414115015,0.2596164384134359,0.04525325061327917
0.9035983095178213,0.25956922034598173,0.04585569557858485
0.90362000378003,0.25955995751223226,0.04609555575601716
0.9036380246112182,0.259553631584432,0.04615048864642664
0.903646547252579,0.25954574250101287,0.0509682067329715
0.9036310781149322,0.25955021889223573,0.055590968149936554
0.9035526798495469,0.2596341859971031,0.06373059628865409
0.9035776205624394,0.25958552832943527,0.07210136009598543
0.9034021952676553,0.2597887846306582,0.0855677721881707
0.9033761793504571,0.25988604158096623,0.09692170020724503
0.9032929566818307,0.2601092626609338,0.11539151033881759
0.9032024979625289,0.2602912996901096,0.12947080836601593
0.9030130871181891,0.26062694757555743,0.1523339545609988
0.9029064315550916,0.2609274595058589,0.16878374189686465
0.902636851293246,0.26133065119412435,0.1959364861334811
0.9025198361552004,0.2616571343305058,0.21445686163449817
0.9021633371405231,0.2621619347487898,0.24421748630602683
0.9019767289313395,0.26256895516939416,0.26446123773463975
0.9015034085640585,0.26325774666272617,0.29689031732286775
0.901215080393311,0.26369815751310816,0.31829422420761216
0.9008268118265421,0.26417931706315245,0.34970112493674144
0.9004507173146019,0.26459915943966944,0.3711952780249488
0.8998423564009861,0.2650099180813447,0.40488494618003484
0.8992883621679968,0.2654477753535749,0.4317484957313249
0.8989676253131413,0.2659482529217053,0.4510509993362854
0.8985998627925853,0.2664085371040887,0.46954127349496216
0.8981133387391823,0.26700003801095745,0.4906458638428695
0.8977640914803945,0.2674544436066739,0.5106805473590437
0.8975710091631617,0.2677563879549399,0.5230684883842966
0.8974427148313049,0.2681223512320236,0.5385817985799844
0.8973644949074512,0.26834360896968323,0.5466397059732253
0.8972883839524771,0.26859723817034886,0.5571536301663221
0.8973371968457193,0.26873866743981084,0.56288214776913
0.8974868317829919,0.2689111238399921,0.5692248667538872
0.8976600578573838,0.2690048180165475,0.571332403626173
0.8980045531587774,0.26907549475153686,0.5730486016368153
0.8982182075768502,0.2689228633594337,0.568477793232519
0.8987032194206342,0.2689192721837326,0.5655484777395506
0.8990173680788981,0.2688816482987131,0.5633974268277702
0.8996068511045041,0.2687963271715975,0.5579755753356079
0.8999912486664112,0.2687098679276712,0.554012770736634
0.9005417278092968,0.26860056855229303,0.5459084822986382
0.9010306398113985,0.2683953071229553,0.5409175198184029
0.9016695471575397,0.2681841301498285,0.5319549701371125
0.9020623839948282,0.2680450930186241,0.5267183220883728
0.9026557558845735,0.2678208479718204,0.5178314763747628
0.9030788764965413,0.26766547116981776,0.5111999877732412
0.9035355060671242,0.26749850492646465,0.5003759249262633
0.9039714173073372,0.26729118679205716,0.4947863298141591
0.9043937539464209,0.26723454983665806,0.48693254786297097
0.9047797831305285,0.26714661995228756,0.4841447639853134
0.9052439191335874,0.26693755594687896,0.4763203042275933
0.905502987712526,0.2668840112681672,0.4691344860631987
0.9059240127262176,0.26671218072735914,0.46210260849676815
0.9062390486127525,0.26658568836631974,0.45630191699021194
0.9066681503516602,0.26642086969514545,0.4499518815311895
0.9069560854624142,0.2663668419187354,0.44500666315532633
0.9072934008551831,0.26625411685197287,0.43766435320206964
0.9077197534237328,0.266129113514281,0.430450297947136
0.9080305088995538,0.26606030136516917,0.42553992330786067
0.908515310303869,0.2661391395164585,0.4172199661140473
0.9087538500502906,0.26614688922857077,0.41109333566447775
0.9092561158592778,0.26601332299033276,0.4050671071570268
0.9095017785494376,0.2660146648314111,0.3992089315678758
0.9099007772253993,0.2659586774883024,0.3930769371439143
0.910227583440974,0.2657143474703284,0.3935719134452461
0.9106296866711879,0.2657817270244405,0.3844620780192825
0.9110222861005526,0.2658050714447885,0.3765435656184228
0.91140262146325,0.2654535631569298,0.37603740693045973
0.9117231665809807,0.26543478906978557,0.3712866619919221
0.9121712183448988,0.26550122273180926,0.36101400030287417
0.9124364992905676,0.26550828499734286,0.35676735878998794
0.9128078265697881,0.2655722376923716,0.350310763717503
0.9131035430317826,0.26558932219196146,0.3442525402882942
0.9135741911573951,0.2656084075103351,0.3360419095763989
0.9138647481899251,0.26563983484611786,0.3303171309721431
0.914265130275631,0.26564037956321734,0.3213384056753805
0.9145068758642356,0.26573347808147135,0.31355854160650565
0.9149705859794948,0.2660263113138235,0.3003445352176616
